name,category
./training/450030N425231.jpg,Virabhadrasana
./training/2634j01014741.jpg,Vrikshasana
./training/440023N423072.jpg,Utkatasana
./training/2845016N420103.jpg,Padahastasana
./training/100024N423211.jpg,Katichakrasana
./training/1378038N427089.jpg,TriyakTadasana
./training/1640032N425794.jpg,Gorakshasana
./training/485j022211823.jpg,Tadasana
./training/3070002N417330.jpg,Pranamasana
./training/2368j0011184.jpg,Padahastasana
./training/988j00928745.jpg,Tadasana
./training/760017N420581.jpg,ParivrittaTrikonasana
./training/2298j00327403.jpg,Tuladandasana
./training/1156008N418538.jpg,Gorakshasana
./training/1780j00311134.jpg,ParivrittaTrikonasana
./training/712004N418305.jpg,Santolanasana
./training/1780j0011409.jpg,Virabhadrasana
./training/268j030213849.jpg,Still
./training/760024N423283.jpg,Natavarasana
./training/1189j016210396.jpg,Garudasana
./training/884003N417760.jpg,Padahastasana
./training/544j00928709.jpg,Pranamasana
./training/1348j01215456.jpg,ParivrittaTrikonasana
./training/1348j028213246.jpg,Padahastasana
./training/1172038N427139.jpg,Utkatasana
./training/364043N428301.jpg,Naukasana
./training/2141038N426823.jpg,Katichakrasana
./training/1552028N424743.jpg,Virabhadrasana
./training/904j034214594.jpg,Pranamasana
./training/562024N423531.jpg,Tuladandasana
./training/760022N422659.jpg,Virabhadrasana
./training/328026N424554.jpg,Vrikshasana
./training/650j028213420.jpg,Virabhadrasana
./training/2278046N429052.jpg,Vrikshasana
./training/1940002N417499.jpg,Utkatasana
./training/474021N422205.jpg,Vrikshasana
./training/1640033N426219.jpg,Ardhachakrasana
./training/880j00813649.jpg,Trikonasana
./training/320j00914033.jpg,Santolanasana
./training/1124020N421487.jpg,ParivrittaTrikonasana
./training/1870j022211788.jpg,ParivrittaTrikonasana
./training/3126j035214705.jpg,Natarajasana
./training/594j015210360.jpg,Virabhadrasana
./training/2036022N422424.jpg,ParivrittaTrikonasana
./training/1648j00612805.jpg,Vrikshasana
./training/320j01215408.jpg,Naukasana
./training/596j00227175.jpg,Virabhadrasana
./training/1764024N423369.jpg,Pranamasana
